country_code,date,rate_type,rate_to_usd,source,fetched_at
AR,2026-08-13,oficial,1515.0,dolarapi,2026-08-14T03:33:18.538165+00:00
AR,2026-08-13,blue,1540.0,dolarapi,2026-08-14T03:33:18.538165+00:00
AR,2026-08-13,bolsa,1526.4,dolarapi,2026-08-14T03:33:18.538165+00:00
AR,2026-08-13,contadoconliqui,1581.4,dolarapi,2026-08-14T03:33:18.538165+00:00
AR,2026-08-13,mayorista,1492.0,dolarapi,2026-08-14T03:33:18.538165+00:00
AR,2026-08-13,cripto,1580.7,dolarapi,2026-08-14T03:33:18.538165+00:00
AR,2026-08-13,tarjeta,1969.5,dolarapi,2026-08-14T03:33:18.538165+00:00
