country_code,year,ppp_conversion_factor,gdp_per_capita_ppp_current,gdp_per_capita_ppp_constant,source,fetched_at
AR,2024,419.292111285901,30475.3876517556,26771.9657650571,world_bank,2026-08-13T15:56:08.017695+00:00
BR,2024,2.48371015372826,22370.9182253225,19652.365499171,world_bank,2026-08-13T15:56:08.017695+00:00
CO,2024,1443.718515,22439.4001359818,18481.8374929368,world_bank,2026-08-13T15:56:08.017695+00:00
UY,2024,26.710334219867,36596.7847357669,32149.480073986,world_bank,2026-08-13T15:56:08.017695+00:00
