country_code,period,period_label,indicator,value,unit,source,fetched_at
CO,2003-02-01,Febrero 2003,ipc_indice,50.98,,dane,2026-08-14T03:33:19.965994+00:00
CO,2004-02-01,Febrero 2004,ipc_indice,54.18,,dane,2026-08-14T03:33:19.965994+00:00
CO,2005-02-01,Febrero 2005,ipc_indice,57.02,,dane,2026-08-14T03:33:19.965994+00:00
CO,2006-02-01,Febrero 2006,ipc_indice,59.41,,dane,2026-08-14T03:33:19.965994+00:00
CO,2007-02-01,Febrero 2007,ipc_indice,62.53,,dane,2026-08-14T03:33:19.965994+00:00
CO,2008-02-01,Febrero 2008,ipc_indice,66.5,,dane,2026-08-14T03:33:19.965994+00:00
CO,2009-02-01,Febrero 2009,ipc_indice,70.8,,dane,2026-08-14T03:33:19.965994+00:00
CO,2010-02-01,Febrero 2010,ipc_indice,72.28,,dane,2026-08-14T03:33:19.965994+00:00
CO,2011-02-01,Febrero 2011,ipc_indice,74.57,,dane,2026-08-14T03:33:19.965994+00:00
CO,2012-02-01,Febrero 2012,ipc_indice,77.22,,dane,2026-08-14T03:33:19.965994+00:00
CO,2013-02-01,Febrero 2013,ipc_indice,78.63,,dane,2026-08-14T03:33:19.965994+00:00
CO,2014-02-01,Febrero 2014,ipc_indice,80.45,,dane,2026-08-14T03:33:19.965994+00:00
CO,2015-02-01,Febrero 2015,ipc_indice,83.96,,dane,2026-08-14T03:33:19.965994+00:00
CO,2016-02-01,Febrero 2016,ipc_indice,90.33,,dane,2026-08-14T03:33:19.965994+00:00
CO,2017-02-01,Febrero 2017,ipc_indice,95.01,,dane,2026-08-14T03:33:19.965994+00:00
CO,2018-02-01,Febrero 2018,ipc_indice,98.22,,dane,2026-08-14T03:33:19.965994+00:00
CO,2019-02-01,Febrero 2019,ipc_indice,101.18,,dane,2026-08-14T03:33:19.965994+00:00
CO,2020-02-01,Febrero 2020,ipc_indice,104.94,,dane,2026-08-14T03:33:19.965994+00:00
CO,2021-02-01,Febrero 2021,ipc_indice,106.58,,dane,2026-08-14T03:33:19.965994+00:00
CO,2022-02-01,Febrero 2022,ipc_indice,115.11,,dane,2026-08-14T03:33:19.965994+00:00
CO,2023-02-01,Febrero 2023,ipc_indice,130.4,,dane,2026-08-14T03:33:19.965994+00:00
CO,2024-02-01,Febrero 2024,ipc_indice,140.49,,dane,2026-08-14T03:33:19.965994+00:00
CO,2025-02-01,Febrero 2025,ipc_indice,147.9,,dane,2026-08-14T03:33:19.965994+00:00
CO,2026-02-01,Febrero 2026,ipc_indice,155.73,,dane,2026-08-14T03:33:19.965994+00:00
CO,2003-03-01,Marzo 2003,ipc_indice,51.51,,dane,2026-08-14T03:33:19.965994+00:00
CO,2004-03-01,Marzo 2004,ipc_indice,54.71,,dane,2026-08-14T03:33:19.965994+00:00
CO,2005-03-01,Marzo 2005,ipc_indice,57.46,,dane,2026-08-14T03:33:19.965994+00:00
CO,2006-03-01,Marzo 2006,ipc_indice,59.83,,dane,2026-08-14T03:33:19.965994+00:00
CO,2007-03-01,Marzo 2007,ipc_indice,63.29,,dane,2026-08-14T03:33:19.965994+00:00
CO,2008-03-01,Marzo 2008,ipc_indice,67.04,,dane,2026-08-14T03:33:19.965994+00:00
CO,2009-03-01,Marzo 2009,ipc_indice,71.15,,dane,2026-08-14T03:33:19.965994+00:00
